"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Thiohalocapsa"	"G"	3435	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Acidibacter"	"G"	26661	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Arenicellales"	"O"	11508	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Arenicellaceae"	"F"	11509	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales"
"uncultured"	"G"	14622	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"uncultured"	"O"	14692	4	NA	NA	NA	NA	NA	1	NA	NA	4	NA	0.004511	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacterales"	"O"	26607	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacteraceae"	"F"	26608	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales"
"Candidatus Competibacter"	"G"	26609	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"SAR86 clade"	"O"	26808	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Desulfomicrobiaceae"	"F"	3165	3	NA	NA	NA	NA	NA	2	NA	NA	3	NA	0.003383	NA	NA	NA	NA	NA	0.001124	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales"
"Desulfomicrobium"	"G"	3166	3	NA	NA	NA	NA	NA	2	NA	NA	3	NA	0.003383	NA	NA	NA	NA	NA	0.001124	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfomicrobiaceae"
"uncultured"	"G"	3164	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfohalobiaceae"
"Eel-36e1D6"	"F"	11481	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Phaselicystidaceae"	"F"	3234	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Phaselicystis"	"G"	3235	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Phaselicystidaceae"
"P3OB-42"	"F"	11486	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Desulfocarbo"	"G"	14587	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfarculales>Desulfarculaceae"
"Desulfobotulus"	"G"	3123	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Deltaproteobacteria Incertae Sedis"	"O"	3102	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Unknown Family"	"F"	26270	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Deltaproteobacteria&nbsp;Incertae&nbsp;Sedis"
"Deferrisoma"	"G"	26271	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Deltaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Desulfuromonadales"	"O"	3181	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Geobacteraceae"	"F"	3195	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales"
"Geothermobacter"	"G"	3199	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae"
"PB19"	"O"	26287	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"RCP2-54"	"O"	26288	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Microvirga"	"G"	26048	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae"
"Hyphomicrobiaceae"	"F"	2472	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Hyphomicrobium"	"G"	2480	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Niveispirillum"	"G"	25951	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Sphingopyxis"	"G"	2853	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Magnetospirillaceae"	"F"	26183	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Magnetospirillum"	"G"	26184	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Magnetospirillaceae"
"Gluconacetobacter"	"G"	25917	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	0.001685	NA	NA	NA	NA	NA	0.001685	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"S25-593"	"F"	2796	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"SAR11 clade"	"O"	2808	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26034	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Puniceispirillales"
"Tessaracoccus"	"G"	733	2	NA	NA	NA	NA	NA	2	1	NA	NA	NA	0.9259	NA	NA	NA	NA	NA	0.001124	0.9259	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Propionicimonas"	"G"	730	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Nocardioidaceae"	"F"	705	3	NA	NA	NA	NA	NA	3	NA	NA	1	NA	0.001685	NA	NA	NA	NA	NA	0.001685	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales"
"Nocardioides"	"G"	711	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Marmoricola"	"G"	710	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Geodermatophilaceae"	"F"	484	2	NA	NA	NA	NA	NA	1	NA	NA	2	NA	0.002255	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales"
"Blastococcus"	"G"	485	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Geodermatophilaceae"
"Leucobacter"	"G"	610	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Dermatophilaceae"	"F"	550	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Mobilicoccus"	"G"	554	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Dermatophilaceae"
"Streptosporangiaceae"	"F"	783	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales"
"Streptosporangium"	"G"	794	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales>Streptosporangiaceae"
"Crossiella"	"G"	745	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"uncultured"	"G"	24489	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales>Ilumatobacteraceae"
"Actinomarinaceae"	"F"	24479	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Actinomarinales"
"Candidatus Actinomarina"	"G"	24480	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Actinomarinales>Actinomarinaceae"
"Atopobiaceae"	"F"	24533	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales"
"Atopobium"	"G"	24534	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales>Atopobiaceae"
"Olsenella"	"G"	24538	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales>Atopobiaceae"
"Leptolinea"	"G"	1391	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Chloroflexi>Anaerolineae>Anaerolineales>Anaerolineaceae"
"Flexilinea"	"G"	25123	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Chloroflexi>Anaerolineae>Anaerolineales>Anaerolineaceae"
"uncultured"	"F"	25131	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	0.001685	NA	NA	NA	NA	NA	0.001685	NA	NA	NA	NA	"Bacteria>Chloroflexi>Anaerolineae>Ardenticatenales"
"ADurb.Bin180"	"O"	25121	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Chloroflexi>Anaerolineae"
"RBG-13-54-9"	"O"	25141	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Chloroflexi>Anaerolineae"
"AKIW781"	"F"	11232	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia>Kallotenuales"
"JG30-KF-CM45"	"F"	25165	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia>Thermomicrobiales"
"B12-WMSP1"	"O"	1452	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Chloroflexi>Ktedonobacteria"
"P2-11E"	"C"	1476	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Chloroflexi"
"SHA-26"	"C"	1479	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Chloroflexi"
"Gloeocapsa PCC-7428"	"G"	25284	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Gloeocapsaceae"	"F"	25315	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Gloeobacterales"	"O"	25240	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Gloeobacteraceae"	"F"	25241	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Gloeobacterales"
"Gloeobacter PCC-7421"	"G"	25242	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Gloeobacterales>Gloeobacteraceae"
"Rs-E47 termite group"	"F"	982	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"GWE2-42-42"	"G"	24652	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rs&#x2011;E47&nbsp;termite&nbsp;group"
"Rikenellaceae RC9 gut group"	"G"	11191	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Anaerophaga"	"G"	24622	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Marinilabiliaceae"
"Bergeyella"	"G"	24986	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Weeksellaceae"
"Cytophagaceae"	"F"	24761	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24765	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Fimbriimonadaceae"	"F"	14239	20	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	0.01124	NA	NA	NA	NA	NA	0.01124	NA	NA	NA	NA	"Bacteria>Armatimonadetes>Fimbriimonadia>Fimbriimonadales"
"Armatimonadia"	"C"	895	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Armatimonadetes"
"Armatimonadales"	"O"	896	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Armatimonadetes>Armatimonadia"
"Leptospirae"	"C"	26907	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Spirochaetes"
"Leptospirales"	"O"	26908	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Spirochaetes>Leptospirae"
"Leptospiraceae"	"F"	26909	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales"
"RBG-16-49-21"	"G"	26912	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales>Leptospiraceae"
"PAUC26f"	"G"	24438	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Acidobacteria>Acidobacteriia>Solibacterales>Solibacteraceae&nbsp;(Subgroup&nbsp;3)"
"Paludibaculum"	"G"	24439	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Acidobacteria>Acidobacteriia>Solibacterales>Solibacteraceae&nbsp;(Subgroup&nbsp;3)"
"Subgroup 18"	"C"	14189	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Acidobacteria"
"Subgroup 26"	"C"	399	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Acidobacteria"
"Subgroup 19"	"C"	14190	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Acidobacteria"
"Urania-1B-19 marine sediment group"	"G"	2324	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae"
"S-70"	"O"	2330	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"mle1-8"	"O"	2334	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"028H05-P-BN-P5"	"C"	2294	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Planctomycetes"
"Candidatus Woesebacteria"	"O"	25784	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Patescibacteria>Microgenomatia"
"Candidatus Yanofskybacteria"	"O"	25811	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Patescibacteria>Parcubacteria"
"Chlamydiae"	"C"	1335	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Chlamydiae"
"Chlamydiales"	"O"	1336	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Chlamydiae>Chlamydiae"
"cvE6"	"F"	1359	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Chlamydiae>Chlamydiae>Chlamydiales"
"Acholeplasmatales"	"O"	3921	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes"
"Acholeplasmataceae"	"F"	3922	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes>Acholeplasmatales"
"Acholeplasma"	"G"	3923	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae"
"Helicobacteraceae"	"F"	25575	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Campylobacterales"
"Helicobacter"	"G"	25576	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Campylobacterales>Helicobacteraceae"
"Sulfurovaceae"	"F"	25587	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Campylobacterales"
"Sulfurovum"	"G"	25589	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Campylobacterales>Sulfurovaceae"
