"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.kreport.cladeReads"	"kraken2_classification_june_BC02.kreport.cladeReads"	"kraken2_classification_june_BC03.kreport.cladeReads"	"kraken2_classification_june_BC04.kreport.cladeReads"	"kraken2_classification_june_BC05.kreport.cladeReads"	"kraken2_classification_june_BC06.kreport.cladeReads"	"kraken2_classification_june_BC07.kreport.cladeReads"	"kraken2_classification_june_BC08.kreport.cladeReads"	"kraken2_classification_june_BC09.kreport.cladeReads"	"kraken2_classification_june_BC10.kreport.cladeReads"	"kraken2_classification_june_BC11.kreport.cladeReads"	"kraken2_classification_june_BC12.kreport.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.kreport.cladeReads.."	"kraken2_classification_june_BC02.kreport.cladeReads.."	"kraken2_classification_june_BC03.kreport.cladeReads.."	"kraken2_classification_june_BC04.kreport.cladeReads.."	"kraken2_classification_june_BC05.kreport.cladeReads.."	"kraken2_classification_june_BC06.kreport.cladeReads.."	"kraken2_classification_june_BC07.kreport.cladeReads.."	"kraken2_classification_june_BC08.kreport.cladeReads.."	"kraken2_classification_june_BC09.kreport.cladeReads.."	"kraken2_classification_june_BC10.kreport.cladeReads.."	"kraken2_classification_june_BC11.kreport.cladeReads.."	"kraken2_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Gemella morbillorum"	"S"	29391	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XI.&nbsp;Incertae&nbsp;Sedis>Gemella"
"Lactobacillus fermentum F-6"	"-"	767453	45	NA	NA	1	NA	NA	NA	NA	45	NA	NA	NA	NA	0.02528	NA	NA	0.0006291	NA	NA	NA	NA	0.02528	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>Lactobacillus&nbsp;fermentum"
"Lactobacillus ruminis"	"S"	1623	17	NA	NA	1	NA	3	NA	NA	17	NA	NA	5	NA	0.00955	NA	NA	0.0006291	NA	0.001587	NA	NA	0.00955	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus ruminis ATCC 27782"	"-"	1069534	17	NA	NA	1	NA	3	NA	NA	17	NA	NA	5	NA	0.00955	NA	NA	0.0006291	NA	0.001587	NA	NA	0.00955	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>Lactobacillus&nbsp;ruminis"
"Lactobacillus helveticus"	"S"	1587	15	NA	NA	1	NA	NA	NA	NA	15	NA	NA	NA	NA	0.008427	NA	NA	0.0006291	NA	NA	NA	NA	0.008427	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Streptococcus pneumoniae SPN032672"	"-"	869311	2	NA	NA	1	NA	2	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	0.0006291	NA	0.001058	NA	NA	0.001124	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus thermophilus JIM 8232"	"-"	1051074	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;thermophilus"
"Streptococcus anginosus"	"S"	1328	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus anginosus C238"	"-"	862971	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group>Streptococcus&nbsp;anginosus"
"Streptococcus intermedius B196"	"-"	862967	5	NA	NA	1	NA	NA	NA	NA	5	NA	NA	1	NA	0.002809	NA	NA	0.0006291	NA	NA	NA	NA	0.002809	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group>Streptococcus&nbsp;intermedius"
"Streptococcus mitis"	"S"	28037	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Enterococcus cecorum"	"S"	44008	5	NA	NA	2	NA	1	NA	NA	5	NA	NA	NA	NA	0.002809	NA	NA	0.001258	NA	0.0005289	NA	NA	0.002809	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Enterococcus durans"	"S"	53345	9	NA	NA	1	NA	1	NA	NA	9	NA	NA	1	NA	0.005056	NA	NA	0.0006291	NA	0.0005289	NA	NA	0.005056	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Desulfitobacterium"	"G"	36853	2	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	NA	NA	0.001124	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfitobacterium metallireducens"	"S"	142877	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium"
"Desulfitobacterium metallireducens DSM 15288"	"-"	871968	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	NA	NA	0.0005618	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium>Desulfitobacterium&nbsp;metallireducens"
"Dehalobacterium"	"G"	51514	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Dehalobacterium formicoaceticum"	"S"	51515	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Dehalobacterium"
"Clostridium tetani E88"	"-"	212717	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;tetani"
"Clostridium saccharoperbutylacetonicum"	"S"	36745	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium saccharoperbutylacetonicum N1-4"	"-"	1335640	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;saccharoperbutylacetonicum"
"Clostridium saccharoperbutylacetonicum N1-4(HMT)"	"-"	931276	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;saccharoperbutylacetonicum>Clostridium&nbsp;saccharoperbutylacetonicum&nbsp;N1&#x2011;4"
"Lachnoclostridium phocaeense"	"S"	1871021	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	NA	NA	0.001258	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phytofermentans"	"S"	66219	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phytofermentans ISDg"	"-"	357809	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium>Lachnoclostridium&nbsp;phytofermentans"
"Herbinix"	"G"	1663717	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001887	NA	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Herbinix luporum"	"S"	1679721	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001887	NA	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Herbinix"
"[Eubacterium] rectale"	"S"	39491	5	NA	NA	1	NA	2	NA	NA	NA	NA	NA	5	NA	0.005639	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"[Eubacterium] rectale ATCC 33656"	"-"	515619	5	NA	NA	1	NA	2	NA	NA	NA	NA	NA	5	NA	0.005639	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae>[Eubacterium]&nbsp;rectale"
"Clostridiales Family XVI. Incertae Sedis"	"F"	543347	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis"
"Carboxydocella"	"G"	178898	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVI.&nbsp;Incertae&nbsp;Sedis"
"Carboxydocella thermautotrophica"	"S"	178899	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVI.&nbsp;Incertae&nbsp;Sedis>Carboxydocella"
"[Eubacterium] hallii"	"S"	39488	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium"
"Christensenella sp. Marseille-P3954"	"S"	2086585	2	NA	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Christensenellaceae>Christensenella"
"Ruminiclostridium"	"G"	1508657	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae"
"Ruminiclostridium cellulolyticum"	"S"	1521	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Ruminiclostridium"
"Ruminiclostridium cellulolyticum H10"	"-"	394503	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Ruminiclostridium>Ruminiclostridium&nbsp;cellulolyticum"
"Caldanaerobacter"	"G"	249529	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae"
"Caldanaerobacter subterraneus"	"S"	911092	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Caldanaerobacter"
"Caldanaerobacter subterraneus subsp. tengcongensis"	"-"	119072	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Caldanaerobacter>Caldanaerobacter&nbsp;subterraneus"
"Caldanaerobacter subterraneus subsp. tengcongensis MB4"	"-"	273068	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Caldanaerobacter>Caldanaerobacter&nbsp;subterraneus>Caldanaerobacter&nbsp;subterraneus&nbsp;subsp.&nbsp;tengcongensis"
"Veillonella"	"G"	29465	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae"
"Negativicoccus"	"G"	909928	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae"
"Negativicoccus massiliensis"	"S"	1702287	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae>Negativicoccus"
"Acidaminococcus intestini"	"S"	187327	7	NA	NA	1	NA	7	NA	NA	NA	NA	NA	NA	NA	0.003702	NA	NA	0.0006291	NA	0.003702	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Acidaminococcales>Acidaminococcaceae>Acidaminococcus"
"Acidaminococcus intestini RyC-MR95"	"-"	568816	7	NA	NA	1	NA	7	NA	NA	NA	NA	NA	NA	NA	0.003702	NA	NA	0.0006291	NA	0.003702	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Acidaminococcales>Acidaminococcaceae>Acidaminococcus>Acidaminococcus&nbsp;intestini"
"Mycoplasma mycoides group"	"-"	656088	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Mycoplasma capricolum"	"S"	2095	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma>Mycoplasma&nbsp;mycoides&nbsp;group"
"Mycoplasma capricolum subsp. capripneumoniae"	"-"	40480	2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma>Mycoplasma&nbsp;mycoides&nbsp;group>Mycoplasma&nbsp;capricolum"
"Mycoplasma conjunctivae"	"S"	45361	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Spiroplasma clarkii"	"S"	2139	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Corynebacterium urealyticum"	"S"	43771	14	NA	NA	3	NA	4	NA	NA	NA	NA	NA	14	NA	0.01579	NA	NA	0.001887	NA	0.002116	NA	NA	NA	NA	NA	0.01579	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium urealyticum DSM 7111"	"-"	1267754	14	NA	NA	3	NA	4	NA	NA	NA	NA	NA	14	NA	0.01579	NA	NA	0.001887	NA	0.002116	NA	NA	NA	NA	NA	0.01579	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;urealyticum"
"Corynebacterium sp. ATCC 6931"	"S"	1487956	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Mycolicibacterium smegmatis"	"S"	1772	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycobacterium haemophilum"	"S"	29311	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium haemophilum DSM 44634"	"-"	1202450	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;haemophilum"
"Mycobacteroides"	"G"	670516	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"[Mycobacterium] stephanolepidis"	"S"	1520670	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacteroides"
"Mycolicibacter"	"G"	1073531	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"Mycolicibacter terrae"	"S"	1788	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacter"
"Rhodococcus rhodochrous"	"S"	1829	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Arthrobacter sp. PAMC 25486"	"S"	1494608	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Microbacterium sp. XT11"	"S"	367477	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium sp. PAMC 28756"	"S"	1795053	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Microterricola"	"G"	518733	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microterricola viridarii"	"S"	412690	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	0.0005618	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microterricola"
"Intrasporangium"	"G"	53357	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Intrasporangium calvum"	"S"	53358	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae>Intrasporangium"
