"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"lineage"
"Pseudomonas mucidolens"	"S"	46679	17	NA	NA	NA	NA	NA	2	5	17	NA	NA	9	4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;fluorescens&nbsp;group"
"Pseudomonas putida JB"	"-"	1150601	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;putida&nbsp;group>Pseudomonas&nbsp;putida"
"Pseudomonas syringae pv. syringae HS191"	"-"	1324932	2	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;1>Pseudomonas&nbsp;syringae>Pseudomonas&nbsp;syringae&nbsp;pv.&nbsp;syringae"
"Pseudomonas syringae pv. actinidiae ICMP 9853"	"-"	1104678	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;1>Pseudomonas&nbsp;syringae>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;pathovars&nbsp;incertae&nbsp;sedis>Pseudomonas&nbsp;syringae&nbsp;pv.&nbsp;actinidiae"
"Pseudomonas viridiflava"	"S"	33069	7	NA	NA	NA	NA	NA	2	1	NA	NA	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas cichorii"	"S"	36746	19	NA	NA	NA	NA	NA	2	19	NA	NA	1	8	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas cichorii JBC1"	"-"	1441629	19	NA	NA	NA	NA	NA	2	19	NA	NA	1	8	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;cichorii"
"Pseudomonas syringae group genomosp. 2"	"-"	251698	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas amygdali"	"S"	47877	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;2"
"Pseudomonas amygdali pv. lachrymans"	"-"	53707	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;2>Pseudomonas&nbsp;amygdali"
"Pseudomonas parafulva"	"S"	157782	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas sp. TCU-HL1"	"S"	1856685	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas umsongensis"	"S"	198618	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas sp. HLS-6"	"S"	2049589	3	NA	NA	NA	NA	NA	1	3	1	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas sp. MYb193"	"S"	1827300	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas sp. B10"	"S"	118613	9	NA	NA	NA	NA	NA	1	1	9	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Acinetobacter sp. WCHAc010052"	"S"	2004647	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Acinetobacter junii"	"S"	40215	7	NA	NA	NA	NA	NA	1	1	NA	NA	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Moraxella bovoculi"	"S"	386891	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Moraxella"
"Psychrobacter sp. P11G3"	"S"	1699623	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Psychrobacter"
"Vibrio parahaemolyticus O1:Kuk"	"-"	1338033	3	NA	NA	NA	NA	NA	1	1	3	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group>Vibrio&nbsp;parahaemolyticus"
"Vibrio parahaemolyticus O1:Kuk str. FDA_R31"	"-"	1338034	3	NA	NA	NA	NA	NA	1	1	3	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group>Vibrio&nbsp;parahaemolyticus>Vibrio&nbsp;parahaemolyticus&nbsp;O1:Kuk"
"Vibrio rotiferianus"	"S"	190895	3	NA	NA	NA	NA	NA	2	1	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group"
"Vibrio diabolicus subgroup"	"-"	2315253	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group"
"Vibrio diabolicus"	"S"	50719	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group>Vibrio&nbsp;diabolicus&nbsp;subgroup"
"Vibrio sp. HBUAS61001"	"S"	2479546	7	NA	NA	NA	NA	NA	1	NA	7	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Thiomicrospira aerophila"	"S"	92245	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Thiomicrospira"
"Thiomicrospira aerophila AL3"	"-"	717772	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Thiomicrospira>Thiomicrospira&nbsp;aerophila"
"Methylophaga nitratireducenticrescens"	"S"	754476	3	NA	NA	NA	NA	NA	3	2	1	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Methylophaga"
"Francisella persica"	"S"	954	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Francisellaceae>Francisella"
"Francisella persica ATCC VR-331"	"-"	1086726	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Francisellaceae>Francisella>Francisella&nbsp;persica"
"Alteromonas sp. RW2A1"	"S"	1917158	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas"
"Marinobacter sp. LV10R510-11A"	"S"	1415568	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Marinobacter"
"Marinobacter salarius"	"S"	1420917	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Marinobacter"
"Pseudoalteromonas donghaensis"	"S"	621376	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Pseudoalteromonas translucida"	"S"	166935	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Pseudoalteromonas translucida KMM 520"	"-"	1315283	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas>Pseudoalteromonas&nbsp;translucida"
"Shewanella sp. W3-18-1"	"S"	351745	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella"
"Shewanella sp. ANA-3"	"S"	94122	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella"
"Halomonas sp. GFAJ-1"	"S"	1118153	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Halomonas"
"Halomonas sp. A3H3"	"S"	1346287	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Halomonas"
"Halomonas sp. 1513"	"S"	1883416	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Halomonas"
"Kushneria"	"G"	504090	3	NA	NA	NA	NA	NA	3	2	NA	NA	NA	1	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Kushneria marisflavi"	"S"	157779	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Kushneria"
"Chromohalobacter"	"G"	42054	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Chromohalobacter salexigens"	"S"	158080	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Chromohalobacter"
"Chromohalobacter salexigens DSM 3043"	"-"	290398	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Chromohalobacter>Chromohalobacter&nbsp;salexigens"
"Marinomonas primoryensis"	"S"	178399	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae>Marinomonas"
"Kangiella profundi"	"S"	1561924	3	NA	NA	NA	NA	NA	2	3	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Kangiellaceae>Kangiella"
"Haemophilus aegyptius"	"S"	197575	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Haemophilus"
"Mannheimia haemolytica"	"S"	75985	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Pasteurella multocida subsp. multocida str. 3480"	"-"	584721	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella>Pasteurella&nbsp;multocida>Pasteurella&nbsp;multocida&nbsp;subsp.&nbsp;multocida"
"Pasteurella multocida subsp. multocida OH4807"	"-"	1304873	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella>Pasteurella&nbsp;multocida>Pasteurella&nbsp;multocida&nbsp;subsp.&nbsp;multocida"
"Halorhodospira halophila"	"S"	1053	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Ectothiorhodospiraceae>Halorhodospira"
"Halorhodospira halophila SL1"	"-"	349124	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Ectothiorhodospiraceae>Halorhodospira>Halorhodospira&nbsp;halophila"
"Teredinibacter"	"G"	2425	2	NA	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae"
"Teredinibacter turnerae"	"S"	2426	2	NA	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae>Teredinibacter"
"Teredinibacter turnerae T7901"	"-"	377629	2	NA	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae>Teredinibacter>Teredinibacter&nbsp;turnerae"
"Microbulbifer aggregans"	"S"	1769779	8	NA	NA	NA	NA	NA	3	8	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Microbulbiferaceae>Microbulbifer"
"Candidatus Ruthia"	"G"	1541743	2	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>sulfur&#x2011;oxidizing&nbsp;symbionts"
"Candidatus Ruthia magnifica"	"S"	386487	2	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>sulfur&#x2011;oxidizing&nbsp;symbionts>Candidatus&nbsp;Ruthia"
"Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)"	"-"	413404	2	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>sulfur&#x2011;oxidizing&nbsp;symbionts>Candidatus&nbsp;Ruthia>Candidatus&nbsp;Ruthia&nbsp;magnifica"
"Candidatus Thioglobus"	"G"	655184	2	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria"
"Candidatus Thioglobus singularis"	"S"	1427364	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>Candidatus&nbsp;Thioglobus"
"Campylobacter fetus"	"S"	196	4	NA	NA	NA	NA	NA	4	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter lari NCTC 11845"	"-"	1388749	2	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter>Campylobacter&nbsp;lari"
"Helicobacter pylori HUP-B14"	"-"	1163743	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter>Helicobacter&nbsp;pylori"
"Helicobacter saguini"	"S"	1548018	3	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Helicobacter mustelae"	"S"	217	3	NA	NA	NA	NA	NA	2	NA	NA	NA	1	3	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Anaeromyxobacter dehalogenans"	"S"	161493	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Cystobacterineae>Anaeromyxobacteraceae>Anaeromyxobacter"
"Anaeromyxobacter dehalogenans 2CP-1"	"-"	455488	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Cystobacterineae>Anaeromyxobacteraceae>Anaeromyxobacter>Anaeromyxobacter&nbsp;dehalogenans"
"Myxococcus hansupus"	"S"	1297742	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Cystobacterineae>Myxococcaceae>Myxococcus"
"Acidithiobacillus caldus ATCC 51756"	"-"	637389	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales>Acidithiobacillaceae>Acidithiobacillus>Acidithiobacillus&nbsp;caldus"
"Cyclobacterium marinum"	"S"	104	2	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium"
"Cyclobacterium marinum DSM 745"	"-"	880070	2	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium>Cyclobacterium&nbsp;marinum"
"Capnocytophaga sp. oral taxon 878"	"S"	1316596	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"Gramella forsetii"	"S"	411153	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Gramella"
"Gramella forsetii KT0803"	"-"	411154	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Gramella>Gramella&nbsp;forsetii"
"Gramella sp. SH35"	"S"	2126553	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Gramella"
"Winogradskyella sp. PG-2"	"S"	754409	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Winogradskyella"
"Seonamhaeicola"	"G"	1649495	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Seonamhaeicola sp. S2-3"	"S"	1936081	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Seonamhaeicola"
"Bacteroides heparinolyticus"	"S"	28113	3	NA	NA	NA	NA	NA	3	1	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Parabacteroides distasonis"	"S"	823	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides distasonis ATCC 8503"	"-"	435591	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides>Parabacteroides&nbsp;distasonis"
"Rhodothermus marinus DSM 4252"	"-"	518766	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidetes&nbsp;Order&nbsp;II.&nbsp;Incertae&nbsp;sedis>Rhodothermaceae>Rhodothermus>Rhodothermus&nbsp;marinus"
"Rhodothermus marinus SG0.5JP17-172"	"-"	762570	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidetes&nbsp;Order&nbsp;II.&nbsp;Incertae&nbsp;sedis>Rhodothermaceae>Rhodothermus>Rhodothermus&nbsp;marinus"
"Rhodothermaceae bacterium RA"	"S"	1779382	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidetes&nbsp;Order&nbsp;II.&nbsp;Incertae&nbsp;sedis>Rhodothermaceae>unclassified&nbsp;Rhodothermaceae"
"Simkaniaceae"	"F"	92712	2	NA	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Parachlamydiales"
"Simkania"	"G"	34093	2	NA	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Parachlamydiales>Simkaniaceae"
"Simkania negevensis"	"S"	83561	2	NA	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Parachlamydiales>Simkaniaceae>Simkania"
"Simkania negevensis Z"	"-"	331113	2	NA	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Parachlamydiales>Simkaniaceae>Simkania>Simkania&nbsp;negevensis"
