"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Geobacter"	"G"	28231	10	NA	NA	1	NA	10	NA	2	NA	NA	2	NA	0.005142	NA	NA	0.000613	NA	0.005142	NA	0.001099	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae"
"Geobacter lovleyi"	"S"	313985	2	NA	NA	1	NA	1	NA	2	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	0.0005142	NA	0.001099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae>Geobacter"
"Geobacter lovleyi SZ"	"-"	398767	2	NA	NA	1	NA	1	NA	2	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	0.0005142	NA	0.001099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae>Geobacter>Geobacter&nbsp;lovleyi"
"Desulfobacter"	"G"	2289	3	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	0.001839	NA	NA	0.001839	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Desulfobacter postgatei"	"S"	2293	3	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	0.001839	NA	NA	0.001839	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae>Desulfobacter"
"Desulfobacter postgatei 2ac9"	"-"	879212	3	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	0.001839	NA	NA	0.001839	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae>Desulfobacter>Desulfobacter&nbsp;postgatei"
"Desulfobacula"	"G"	28222	2	NA	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Desulfobacula toluolica"	"S"	28223	2	NA	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae>Desulfobacula"
"Desulfobacula toluolica Tol2"	"-"	651182	2	NA	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae>Desulfobacula>Desulfobacula&nbsp;toluolica"
"Halobacteriovorax sp. BALOs_7"	"S"	2109558	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Oligoflexia>Bacteriovoracales>Halobacteriovoraceae>Halobacteriovorax"
"Acidithiobacillia"	"C"	1807140	3	NA	NA	3	NA	1	NA	1	NA	NA	1	NA	0.001839	NA	NA	0.001839	NA	0.0005142	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Acidithiobacillales"	"O"	225057	3	NA	NA	3	NA	1	NA	1	NA	NA	1	NA	0.001839	NA	NA	0.001839	NA	0.0005142	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia"
"Acidithiobacillaceae"	"F"	225058	3	NA	NA	3	NA	1	NA	1	NA	NA	1	NA	0.001839	NA	NA	0.001839	NA	0.0005142	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales"
"Acidithiobacillus"	"G"	119977	3	NA	NA	3	NA	1	NA	1	NA	NA	1	NA	0.001839	NA	NA	0.001839	NA	0.0005142	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales>Acidithiobacillaceae"
"Acidithiobacillus ferrivorans"	"S"	160808	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales>Acidithiobacillaceae>Acidithiobacillus"
"Spirosoma aerolatum"	"S"	1211326	2	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Rufibacter sp. DG31D"	"S"	1379910	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Rufibacter"
"Flavobacterium psychrophilum FPG101"	"-"	1452725	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium>Flavobacterium&nbsp;psychrophilum"
"Chryseobacterium taklimakanense"	"S"	536441	4	NA	NA	3	NA	4	NA	NA	NA	NA	NA	NA	0.002057	NA	NA	0.001839	NA	0.002057	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"Gramella"	"G"	292691	5	NA	NA	5	NA	2	NA	NA	NA	NA	2	NA	0.003065	NA	NA	0.003065	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Elizabethkingia meningoseptica"	"S"	238	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Elizabethkingia"
"Flavivirga"	"G"	1209327	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Flavivirga eckloniae"	"S"	1803846	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavivirga"
"Winogradskyella sp. RHA_55"	"S"	1249933	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Winogradskyella"
"Ornithobacterium"	"G"	28250	3	NA	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Ornithobacterium rhinotracheale"	"S"	28251	3	NA	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Ornithobacterium"
"Blattabacterium punctulatus"	"S"	164514	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Blattabacteriaceae>Blattabacterium"
"Chitinophaga pinensis"	"S"	79329	3	NA	NA	3	NA	1	NA	NA	NA	NA	1	NA	0.001839	NA	NA	0.001839	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Chitinophagia>Chitinophagales>Chitinophagaceae>Chitinophaga"
"Chitinophaga pinensis DSM 2588"	"-"	485918	3	NA	NA	3	NA	1	NA	NA	NA	NA	1	NA	0.001839	NA	NA	0.001839	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Chitinophagia>Chitinophagales>Chitinophagaceae>Chitinophaga>Chitinophaga&nbsp;pinensis"
"Bacteroides salanitronis"	"S"	376805	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides salanitronis DSM 18170"	"-"	667015	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>Bacteroides&nbsp;salanitronis"
"Pedobacter steynii"	"S"	430522	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Pedobacter sp. eg"	"S"	2201271	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Salinibacter ruber M8"	"-"	761659	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidetes&nbsp;Order&nbsp;II.&nbsp;Incertae&nbsp;sedis>Rhodothermaceae>Salinibacter>Salinibacter&nbsp;ruber"
"Pelodictyon"	"G"	1099	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae>Chlorobium/Pelodictyon&nbsp;group"
"Pelodictyon phaeoclathratiforme"	"S"	34090	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae>Chlorobium/Pelodictyon&nbsp;group>Pelodictyon"
"Pelodictyon phaeoclathratiforme BU-1"	"-"	324925	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae>Chlorobium/Pelodictyon&nbsp;group>Pelodictyon>Pelodictyon&nbsp;phaeoclathratiforme"
"Chlorobaculum"	"G"	256319	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae"
"Chlorobaculum limnaeum"	"S"	274537	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae>Chlorobaculum"
"Candidatus Cloacimonetes"	"P"	456828	4	NA	NA	2	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	0.001226	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Candidatus Cloacimonas"	"G"	456826	4	NA	NA	2	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	0.001226	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Candidatus&nbsp;Cloacimonetes"
"Candidatus Cloacimonas acidaminovorans"	"S"	456827	4	NA	NA	2	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	0.001226	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Candidatus&nbsp;Cloacimonetes>Candidatus&nbsp;Cloacimonas"
"Candidatus Cloacimonas acidaminovorans str. Evry"	"-"	459349	4	NA	NA	2	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	0.001226	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Candidatus&nbsp;Cloacimonetes>Candidatus&nbsp;Cloacimonas>Candidatus&nbsp;Cloacimonas&nbsp;acidaminovorans"
"Planctomyces sp. SH-PL62"	"S"	1636152	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Planctomyces"
"Pirellula"	"G"	123	3	NA	NA	1	NA	3	NA	NA	NA	NA	3	NA	0.003297	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"Pirellula staleyi"	"S"	125	3	NA	NA	1	NA	3	NA	NA	NA	NA	3	NA	0.003297	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Pirellula"
"Pirellula staleyi DSM 6068"	"-"	530564	3	NA	NA	1	NA	3	NA	NA	NA	NA	3	NA	0.003297	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Pirellula>Pirellula&nbsp;staleyi"
"Gemmata sp. SH-PL17"	"S"	1630693	15	NA	NA	2	NA	15	NA	NA	NA	NA	10	NA	0.01099	NA	NA	0.001226	NA	0.007713	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Gemmataceae>Gemmata"
"Nitrospira moscoviensis"	"S"	42253	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae>Nitrospira"
"Leptospirillum"	"G"	179	3	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	0.001543	NA	NA	0.001226	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae"
"Leptospira borgpetersenii"	"S"	174	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira"
"Leptospira borgpetersenii serovar Hardjo-bovis"	"-"	338217	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira>Leptospira&nbsp;borgpetersenii"
"Leptospira borgpetersenii serovar Hardjo-bovis str. L550"	"-"	355276	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira>Leptospira&nbsp;borgpetersenii>Leptospira&nbsp;borgpetersenii&nbsp;serovar&nbsp;Hardjo&#x2011;bovis"
"Treponema primitia"	"S"	88058	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema"
"Treponema primitia ZAS-2"	"-"	545694	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema>Treponema&nbsp;primitia"
"Treponema caldarium"	"S"	215591	4	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema"
"Treponema caldarium DSM 7334"	"-"	744872	4	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema>Treponema&nbsp;caldarium"
"Borrelia crocidurae"	"S"	29520	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borrelia"
"Borrelia crocidurae str. Achema"	"-"	1155096	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borrelia>Borrelia&nbsp;crocidurae"
"Fusobacterium gonidiaformans"	"S"	849	2	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium"
"Fusobacterium gonidiaformans ATCC 25563"	"-"	469615	2	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium>Fusobacterium&nbsp;gonidiaformans"
"Petrotogales"	"O"	1643947	3	NA	NA	2	NA	3	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.001226	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae"
"Petrotogaceae"	"-"	1643949	3	NA	NA	2	NA	3	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.001226	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Petrotogales"
"Petrotoga"	"G"	28236	3	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001543	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Petrotogales>Petrotogaceae"
"Petrotoga mobilis"	"S"	69499	3	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001543	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Petrotogales>Petrotogaceae>Petrotoga"
"Petrotoga mobilis SJ95"	"-"	403833	3	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001543	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Petrotogales>Petrotogaceae>Petrotoga>Petrotoga&nbsp;mobilis"
"Defluviitoga"	"G"	1511648	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Petrotogales>Petrotogaceae"
"Defluviitoga tunisiensis"	"S"	1006576	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Petrotogales>Petrotogaceae>Defluviitoga"
"Denitrovibrio"	"G"	117999	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Deferribacteres>Deferribacteres>Deferribacterales>Deferribacteraceae"
"Denitrovibrio acetiphilus"	"S"	118000	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Deferribacteres>Deferribacteres>Deferribacterales>Deferribacteraceae>Denitrovibrio"
"Denitrovibrio acetiphilus DSM 12809"	"-"	522772	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Deferribacteres>Deferribacteres>Deferribacterales>Deferribacteraceae>Denitrovibrio>Denitrovibrio&nbsp;acetiphilus"
"Metallosphaera"	"G"	41980	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Archaea>TACK&nbsp;group>Crenarchaeota>Thermoprotei>Sulfolobales>Sulfolobaceae"
"Thermococci"	"C"	183968	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Archaea>Euryarchaeota"
"Thermococcales"	"O"	2258	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Archaea>Euryarchaeota>Thermococci"
"Thermococcaceae"	"F"	2259	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Archaea>Euryarchaeota>Thermococci>Thermococcales"
"Thermococcus"	"G"	2263	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Archaea>Euryarchaeota>Thermococci>Thermococcales>Thermococcaceae"
