"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Haemophilus influenzae-murium"	"S"	67859	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Haemophilus"
"gamma proteobacterium MF9"	"S"	196057	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria&nbsp;(miscellaneous)"
"Olavius crassitunicatus gamma-proteobacterial endosymbiont"	"S"	260713	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria&nbsp;(miscellaneous)"
"gamma proteobacterium SS6_1278"	"S"	1328464	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria&nbsp;(miscellaneous)"
"Sedimenticola"	"G"	349742	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria"
"environmental samples"	"-"	754472	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>Sedimenticola"
"uncultured Sedimenticola sp."	"S"	754473	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>Sedimenticola>environmental&nbsp;samples"
"Methylomicrobium sp. 6G"	"S"	106579	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae>Methylomicrobium"
"Arcobacter ellisii"	"S"	913109	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter venerupis"	"S"	1054033	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter lanthieri"	"S"	1355374	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter sp. FE2"	"S"	904486	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>unclassified&nbsp;Arcobacter&nbsp;group"
"Sulfurospirillum deleyianum"	"S"	65553	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005494	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum deleyianum DSM 6946"	"-"	525898	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum>Sulfurospirillum&nbsp;deleyianum"
"Sulfurospirillum sp. EK7"	"S"	217137	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum halorespirans"	"S"	194424	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum multivorans"	"S"	66821	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum multivorans DSM 12446"	"-"	1150621	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum>Sulfurospirillum&nbsp;multivorans"
"Sulfurospirillum cavolei"	"S"	366522	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum cavolei NBRC 109482"	"-"	1349788	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum>Sulfurospirillum&nbsp;cavolei"
"Campylobacter sp. DSM 806"	"S"	94135	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter sp."	"S"	205	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Helicobacter sp. WYS-2001/2"	"S"	161380	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Helicobacter sp. 12S02232-10"	"S"	1476197	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Thiovulum"	"G"	936	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae"
"Thiovulum sp. ES"	"S"	1177931	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Thiovulum"
"uncultured epsilon proteobacterium BioIuz K34"	"S"	147690	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>environmental&nbsp;samples"
"uncultured epsilon proteobacterium 1014"	"S"	101535	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>environmental&nbsp;samples"
"uncultured epsilon proteobacterium 1070"	"S"	101538	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>environmental&nbsp;samples"
"Desulfovibrio indonesiensis"	"S"	54767	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfovibrionales>Desulfovibrionaceae>Desulfovibrio"
"uncultured Desulfovibrio sp."	"S"	167968	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfovibrionales>Desulfovibrionaceae>Desulfovibrio>environmental&nbsp;samples"
"Desulfomicrobiaceae"	"F"	213116	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfovibrionales"
"Desulfomicrobium"	"G"	898	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfovibrionales>Desulfomicrobiaceae"
"Desulfomicrobium sp. SA2"	"S"	279613	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfovibrionales>Desulfomicrobiaceae>Desulfomicrobium"
"myxobacterium AT3-03"	"S"	366541	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>unclassified&nbsp;Myxococcales>unclassified&nbsp;Myxococcales&nbsp;(miscellaneous)"
"delta proteobacterium ectosymbiont of Rimicaris exoculata"	"S"	709902	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>unclassified&nbsp;Deltaproteobacteria>unclassified&nbsp;Deltaproteobacteria&nbsp;(miscellaneous)"
"environmental samples"	"-"	348140	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Syntrophobacterales"
"uncultured Syntrophobacterales bacterium"	"S"	348141	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Syntrophobacterales>environmental&nbsp;samples"
"Geobacter"	"G"	28231	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae"
"environmental samples"	"-"	65831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae>Geobacter"
"uncultured Geobacter sp."	"S"	186741	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae>Geobacter>environmental&nbsp;samples"
"proteobacterium K22"	"S"	1331938	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>unclassified&nbsp;Proteobacteria>unclassified&nbsp;Proteobacteria&nbsp;(miscellaneous)"
"Aminomonas aminovorus"	"S"	135579	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>unclassified&nbsp;Proteobacteria"
"environmental samples"	"-"	134480	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales>Acidithiobacillaceae>Acidithiobacillus"
"uncultured Acidithiobacillus sp."	"S"	153810	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales>Acidithiobacillaceae>Acidithiobacillus>environmental&nbsp;samples"
"unclassified Acidithiobacillales"	"-"	1703362	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales"
"Acidithiobacillales bacterium SM1_46"	"S"	1703384	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Acidithiobacillia>Acidithiobacillales>unclassified&nbsp;Acidithiobacillales"
"Bacteriovorax stolpii"	"S"	960	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Oligoflexia>Bacteriovoracales>Bacteriovoracaceae>Bacteriovorax"
"Bacteriovorax sp. F2"	"S"	242932	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Oligoflexia>Bacteriovoracales>Bacteriovoracaceae>Bacteriovorax"
"environmental samples"	"-"	346637	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Oligoflexia>Bacteriovoracales>Bacteriovoracaceae>Bacteriovorax"
"uncultured Bacteriovorax sp."	"S"	346638	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Oligoflexia>Bacteriovoracales>Bacteriovoracaceae>Bacteriovorax>environmental&nbsp;samples"
"uncultured bacterium GKS2-33"	"S"	124668	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>environmental&nbsp;samples"
"uncultured bacterium FukuN36"	"S"	124657	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>environmental&nbsp;samples"
"Pedobacter agri"	"S"	454586	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Sphingobacterium sp. S3"	"S"	125887	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Mucilaginibacter oryzae"	"S"	468058	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter frigoritolerans"	"S"	652788	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"uncultured bacterium GKS2-216"	"S"	124666	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcicella>environmental&nbsp;samples"
"Arcicella aurantiaca"	"S"	591202	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcicella"
"Flectobacillus sp. PIC-C19"	"S"	351565	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Flectobacillus"
"Flectobacillus pallidus"	"S"	1815557	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Flectobacillus"
"Flectobacillus speluncae"	"S"	182267	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Flectobacillus"
"Flectobacillus roseus"	"S"	502259	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Flectobacillus"
"uncultured Hymenobacter group bacterium"	"S"	169966	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>environmental&nbsp;samples"
"Flexibacteraceae bacterium JAM-BA0103"	"S"	472121	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>unclassified&nbsp;Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga sp. TUT1226"	"S"	290776	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga sp. MBIC04671"	"S"	173728	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Flexibacter flexilis"	"S"	998	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Flexibacter"
"Flexibacter flexilis DSM 6793"	"-"	927664	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Flexibacter>Flexibacter&nbsp;flexilis"
"Sporocytophaga"	"G"	1011	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Sporocytophaga cauliformis"	"S"	1012	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Sporocytophaga"
