"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"Piscirickettsiaceae"	"F"	26800	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Piscirickettsiales"
"Candidatus Endoecteinascidia"	"G"	26801	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Piscirickettsiales>Piscirickettsiaceae"
"Thiorhodospira"	"G"	26636	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Ectothiorhodospiraceae"
"EC3"	"O"	3467	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Candidatus Thiosymbion"	"G"	26320	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"KI89A clade"	"O"	3550	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"JG36-GS-52"	"O"	26681	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudooceanicola"	"G"	26171	4	NA	NA	NA	NA	4	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	0.002057	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paenirhodobacter"	"G"	11453	5	NA	NA	NA	NA	3	NA	NA	NA	NA	5	NA	0.005494	NA	NA	NA	NA	0.001543	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Albimonas"	"G"	2561	3	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Citreicella"	"G"	2567	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseobacter clade Marinomonas lineage"	"G"	2637	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Litorimicrobium"	"G"	2585	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Yangia"	"G"	2665	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pseudohalocynthiibacter"	"G"	14537	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Marivivens"	"G"	26168	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pontibaca"	"G"	2615	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sphingomicrobium"	"G"	2851	5	NA	NA	NA	NA	5	NA	NA	NA	NA	1	NA	0.002571	NA	NA	NA	NA	0.002571	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Parablastomonas"	"G"	14558	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"DSSF69"	"G"	26243	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingosinicella"	"G"	2855	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Cohaesibacter"	"G"	26103	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Hoeflea"	"G"	26108	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Dichotomicrobium"	"G"	26129	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Azorhizobium"	"G"	2548	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Methyloceanibacter"	"G"	26072	4	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	0.002057	NA	NA	NA	NA	0.002057	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methyloligellaceae"
"Stappiaceae"	"F"	26133	9	NA	NA	NA	NA	9	NA	NA	NA	NA	2	NA	0.004628	NA	NA	NA	NA	0.004628	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Pannonibacter"	"G"	26138	5	NA	NA	NA	NA	5	NA	NA	NA	NA	1	NA	0.002571	NA	NA	NA	NA	0.002571	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Stappiaceae"
"Labrenzia"	"G"	26136	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.001543	NA	NA	NA	NA	0.001543	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Stappiaceae"
"Pseudovibrio"	"G"	26140	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Stappiaceae"
"C2U"	"F"	2464	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Amb-16S-1323"	"F"	26039	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Thermopetrobacteraceae"	"F"	26145	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Thermopetrobacter"	"G"	26146	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Thermopetrobacteraceae"
"Methylopilaceae"	"F"	26076	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Hansschlegelia"	"G"	26078	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylopilaceae"
"Kaistiaceae"	"F"	26065	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Kaistia"	"G"	26066	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Kaistiaceae"
"PMMR1"	"G"	25965	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Asticcacaulis"	"G"	2389	2	NA	NA	NA	NA	1	NA	1	NA	NA	2	NA	0.002198	NA	NA	NA	NA	0.0005142	NA	0.0005497	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Hyphomonas"	"G"	2400	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"uncultured"	"G"	25973	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Parvularculaceae"
"Candidatus Xenohaliotis"	"G"	2766	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"uncultured"	"G"	2771	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"uncultured"	"F"	2806	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Roseococcus"	"G"	25931	5	NA	NA	NA	NA	4	NA	NA	NA	NA	5	NA	0.005494	NA	NA	NA	NA	0.002057	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Nitrospirillum"	"G"	25950	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Haematospirillum"	"G"	14543	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Roseospirillum"	"G"	2748	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Pararhodospirillum"	"G"	11465	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"uncultured"	"G"	26182	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Magnetospiraceae"
"Thalassobaculaceae"	"F"	26258	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales"
"Thalassobaculum"	"G"	26260	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales>Thalassobaculaceae"
"Nisaeaceae"	"F"	26253	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales"
"OM75 clade"	"G"	26255	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales>Nisaeaceae"
"Candidatus Bealeia"	"G"	25988	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Holosporaceae"
"Elsterales"	"O"	25978	2	NA	NA	NA	NA	2	NA	1	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.001028	NA	0.0005497	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"URHD0088"	"F"	25984	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Elsterales"
"uncultured"	"F"	25985	1	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	0.0005497	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Elsterales"
"Iodidimonadaceae"	"F"	25993	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales"
"Iodidimonas"	"G"	25994	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales>Iodidimonadaceae"
"BIrii41"	"F"	11478	6	NA	NA	NA	NA	6	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	0.003085	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Anaeromyxobacter"	"G"	14598	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Archangiaceae"
"bacteriap25"	"F"	11496	4	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"UASB-TL25"	"F"	11492	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Smithella"	"G"	3255	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae"
"Syntrophobacteraceae"	"F"	3258	8	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	0.004113	NA	NA	NA	NA	0.004113	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales"
"Syntrophobacter"	"G"	3264	6	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	0.003085	NA	NA	NA	NA	0.003085	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophobacteraceae"
"uncultured"	"G"	3266	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophobacteraceae"
"Geothermobacter"	"G"	3199	5	NA	NA	NA	NA	5	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	0.002571	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae"
"Silvanigrella"	"G"	26285	3	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales>Oligoflexaceae"
"053A03-B-DI-P58"	"F"	14611	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales"
"uncultured"	"G"	3138	3	NA	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.001543	NA	NA	NA	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Sva0485"	"O"	3250	9	NA	NA	NA	NA	9	NA	NA	NA	NA	1	NA	0.004628	NA	NA	NA	NA	0.004628	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfonauticus"	"G"	3161	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfohalobiaceae"
"Desulfovermiculus"	"G"	3163	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfohalobiaceae"
"Bilophila"	"G"	3170	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfovibrionaceae"
"MBNT15"	"O"	26280	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"PB19"	"O"	26287	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"RCP2-54"	"O"	26288	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"KD1-131"	"F"	25010	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"s74e-6049"	"F"	25036	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Larkinella"	"G"	24805	6	NA	NA	NA	NA	2	NA	NA	NA	NA	6	NA	0.006593	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.006593	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Rudanella"	"G"	24811	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	4	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.004396	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Reichenbachiella"	"G"	24755	4	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.004396	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Rhodonellum"	"G"	24756	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Sporocytophaga"	"G"	24764	4	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	0.004396	NA	NA	NA	NA	0.001028	NA	NA	NA	NA	0.004396	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"MWH-CFBk5"	"F"	24782	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hoppeia"	"G"	24894	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Seonamhaeicola"	"G"	24950	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Ulvibacter"	"G"	24965	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Arcticiflavibacter"	"G"	24851	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Algibacter"	"G"	24846	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Crocinitomix"	"G"	24828	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Crocinitomicaceae"
"Cryomorpha"	"G"	24835	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Cryomorphaceae"
"NS10 marine group"	"G"	24837	3	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.003297	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Cryomorphaceae"
"Empedobacter"	"G"	24993	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Weeksellaceae"
