"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Candidatus Flaviluna"	"G"	588	22	NA	NA	NA	NA	1	NA	NA	NA	NA	22	NA	0.02629	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.02629	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Subtercola"	"G"	632	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Rhodoglobus"	"G"	626	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00239	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Agreia"	"G"	581	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00239	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Paeniglutamicibacter"	"G"	14219	9	NA	NA	NA	NA	2	NA	NA	NA	NA	9	NA	0.01076	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.01076	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Janibacter"	"G"	563	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Cellulomonadaceae"	"F"	523	7	NA	NA	NA	NA	2	NA	NA	NA	NA	7	NA	0.008366	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.008366	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Cellulomonas"	"G"	525	4	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	0.004781	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.004781	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Cellulomonadaceae"
"Demequinaceae"	"F"	531	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Demequina"	"G"	532	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Demequinaceae"
"Brevibacteriaceae"	"F"	521	6	NA	NA	NA	NA	1	NA	NA	NA	NA	6	NA	0.007171	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.007171	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Brevibacterium"	"G"	522	6	NA	NA	NA	NA	1	NA	NA	NA	NA	6	NA	0.007171	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.007171	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Brevibacteriaceae"
"Auraticoccus"	"G"	716	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Lawsonella"	"G"	14206	2	NA	NA	NA	NA	2	NA	2	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.001079	NA	0.001115	NA	NA	0.001195	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae"
"Nocardia"	"G"	463	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00239	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae"
"Streptomonospora"	"G"	780	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae"
"Salinispora"	"G"	696	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Catellatospora"	"G"	678	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Nitratifractor"	"G"	25588	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	NA	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Campylobacterales>Sulfurovaceae"
"Nautiliales"	"O"	25595	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria"
"Nautiliaceae"	"F"	25596	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Nautiliales"
"Caminibacter"	"G"	25597	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Epsilonbacteraeota>Campylobacteria>Nautiliales>Nautiliaceae"
"Gimesiaceae"	"F"	25885	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales"
"uncultured"	"G"	25887	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales>Gimesiaceae"
"uncultured"	"G"	25865	4	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	0.002158	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	0.001195	NA	"Bacteria>Planctomycetes>Planctomycetacia>Isosphaerales>Isosphaeraceae"
"Paludisphaera"	"G"	25863	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Isosphaerales>Isosphaeraceae"
"Rubripirellula"	"G"	25879	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Pirellulales>Pirellulaceae"
"AKYG587"	"G"	2317	7	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	0.003776	NA	NA	NA	NA	0.003776	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae"
"CL500-3"	"G"	2318	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae"
"Pla1 lineage"	"O"	2329	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"MSBL9"	"O"	2310	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.00239	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.00239	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"SG8-4"	"F"	25846	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001195	NA	"Bacteria>Planctomycetes>Phycisphaerae>MSBL9"
"Pla3 lineage"	"C"	2335	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes"
"SGST604"	"C"	2372	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes"
"Unknown Order"	"O"	14197	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Subgroup&nbsp;6"
"Unknown Family"	"F"	14198	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Subgroup&nbsp;6>Unknown&nbsp;Order"
"Luteitalea"	"G"	24468	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Subgroup&nbsp;6>Unknown&nbsp;Order>Unknown&nbsp;Family"
"Vicinamibacter"	"G"	14199	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Subgroup&nbsp;6>Unknown&nbsp;Order>Unknown&nbsp;Family"
"Geothrix"	"G"	385	5	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	0.002697	NA	NA	NA	NA	0.002697	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Holophagae>Holophagales>Holophagaceae"
"Subgroup 25"	"C"	14194	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria"
"TPD-58"	"G"	24475	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia>Thermoanaerobaculales>Thermoanaerobaculaceae"
"Subgroup 5"	"C"	14195	7	NA	NA	NA	NA	3	NA	NA	NA	NA	7	NA	0.008366	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.008366	NA	"Bacteria>Acidobacteria"
"GBS-L1-B05"	"C"	14169	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria"
"S0134 terrestrial group"	"C"	14419	5	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.005976	NA	"Bacteria>Gemmatimonadetes"
"GW2011-GWA2-46-7"	"O"	25814	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Patescibacteria>Parcubacteria"
"WWE3"	"C"	25826	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Patescibacteria"
"WS6 (Dojkabacteria)"	"C"	25825	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Patescibacteria"
"Candidatus Uhrbacteria"	"O"	25761	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Patescibacteria>ABY1"
"MVP-21"	"O"	1470	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Chloroflexi>Ktedonobacteria"
"TK10"	"C"	1481	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Chloroflexi"
"SHA-26"	"C"	1479	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Chloroflexi"
"BMS9AB35"	"C"	25736	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Nitrospirae"
"4-29-1"	"C"	25734	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Nitrospirae"
"B122"	"F"	1651	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales"
"Kiritimatiellales"	"O"	25710	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	NA	NA	"Bacteria>Kiritimatiellaeota>Kiritimatiellae"
"Kiritimatiellaceae"	"F"	25711	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	NA	NA	"Bacteria>Kiritimatiellaeota>Kiritimatiellae>Kiritimatiellales"
"MSBL3"	"G"	25713	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	0.002158	NA	NA	NA	NA	NA	NA	"Bacteria>Kiritimatiellaeota>Kiritimatiellae>Kiritimatiellales>Kiritimatiellaceae"
"uncultured"	"G"	26936	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00239	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Brachyspirae"	"C"	26900	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes"
"Brachyspirales"	"O"	26901	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes>Brachyspirae"
"Brachyspirales Incertae Sedis"	"F"	26904	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes>Brachyspirae>Brachyspirales"
"Exilispira"	"G"	26905	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes>Brachyspirae>Brachyspirales>Brachyspirales&nbsp;Incertae&nbsp;Sedis"
"GWF2-44-16"	"F"	25720	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	0.0005573	NA	NA	NA	NA	0.0005394	NA	0.0005573	NA	NA	NA	NA	"Bacteria>Lentisphaerae>Lentisphaeria>Victivallales"
"Lentisphaerales"	"O"	2251	5	NA	NA	NA	NA	3	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.005976	NA	"Bacteria>Lentisphaerae>Lentisphaeria"
"Lentisphaeraceae"	"F"	2252	5	NA	NA	NA	NA	3	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.005976	NA	"Bacteria>Lentisphaerae>Lentisphaeria>Lentisphaerales"
"Lentisphaera"	"G"	2253	5	NA	NA	NA	NA	3	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.005976	NA	"Bacteria>Lentisphaerae>Lentisphaeria>Lentisphaerales>Lentisphaeraceae"
"Oligosphaerales"	"O"	2261	5	NA	NA	NA	NA	5	NA	NA	NA	NA	1	NA	0.002697	NA	NA	NA	NA	0.002697	NA	NA	NA	NA	0.001195	NA	"Bacteria>Lentisphaerae>Oligosphaeria"
"Lenti-02"	"F"	25721	5	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	0.002697	NA	NA	NA	NA	0.002697	NA	NA	NA	NA	NA	NA	"Bacteria>Lentisphaerae>Oligosphaeria>Oligosphaerales"
"UBA12409"	"F"	25546	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Dependentiae>Babeliae>Babeliales"
"Fusobacterium"	"G"	2210	3	NA	NA	NA	NA	3	NA	NA	NA	NA	3	NA	0.003585	NA	NA	NA	NA	0.001618	NA	NA	NA	NA	0.003585	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae"
"BRC1"	"P"	14244	5	NA	NA	NA	NA	5	NA	1	NA	NA	2	NA	0.002697	NA	NA	NA	NA	0.002697	NA	0.0005573	NA	NA	0.00239	NA	"Bacteria"
"Deinococcus"	"G"	1615	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001195	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales>Deinococcaceae"
"Atribacteria"	"P"	11163	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria"
"JS1"	"C"	24594	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Atribacteria"
"Aerophobetes"	"P"	11161	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria"
"JdFR-76"	"G"	25108	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Calditrichaeota>Calditrichia>Calditrichales>Calditrichaceae"
"Margulisbacteria"	"P"	25726	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria"
"Marinimicrobia (SAR406 clade)"	"P"	11409	1	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	0.0005573	NA	NA	0.001195	NA	"Bacteria"
"Cloacimonetes"	"P"	11239	5	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.005976	NA	"Bacteria"
"Cloacimonadia"	"C"	25205	5	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.005976	NA	"Bacteria>Cloacimonetes"
"Cloacimonadales"	"O"	25206	5	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	0.005976	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.005976	NA	"Bacteria>Cloacimonetes>Cloacimonadia"
"Cloacimonadaceae"	"F"	25208	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cloacimonetes>Cloacimonadia>Cloacimonadales"
"LNR A2-18"	"G"	25211	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Cloacimonetes>Cloacimonadia>Cloacimonadales>Cloacimonadaceae"
"Chlorobia"	"C"	25038	2	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	0.6897	NA	NA	NA	NA	NA	0.6897	NA	NA	NA	0.00239	NA	"Bacteria>Bacteroidetes"
"Chlorobiales"	"O"	25039	2	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	0.6897	NA	NA	NA	NA	NA	0.6897	NA	NA	NA	0.00239	NA	"Bacteria>Bacteroidetes>Chlorobia"
"Chlorobiaceae"	"F"	25040	2	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	0.6897	NA	NA	NA	NA	NA	0.6897	NA	NA	NA	0.00239	NA	"Bacteria>Bacteroidetes>Chlorobia>Chlorobiales"
"Chlorobaculum"	"G"	25041	2	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	0.6897	NA	NA	NA	NA	NA	0.6897	NA	NA	NA	0.00239	NA	"Bacteria>Bacteroidetes>Chlorobia>Chlorobiales>Chlorobiaceae"
"S-70"	"O"	2330	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.6897	NA	NA	NA	NA	NA	0.6897	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"Sodalis"	"G"	3525	17	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	0.009474	NA	NA	NA	NA	NA	NA	0.009474	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Yokenella"	"G"	3532	15	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	0.00836	NA	NA	NA	NA	NA	NA	0.00836	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Siccibacter"	"G"	26649	14	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	0.007802	NA	NA	NA	NA	NA	NA	0.007802	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Shimwellia"	"G"	3524	13	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	0.007245	NA	NA	NA	NA	NA	NA	0.007245	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Tatumella"	"G"	3526	9	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	0.005016	NA	NA	NA	NA	NA	NA	0.005016	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Xenorhabdus"	"G"	3530	8	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	0.004459	NA	NA	NA	NA	NA	NA	0.004459	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Izhakiella"	"G"	26647	7	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0.003901	NA	NA	NA	NA	NA	NA	0.003901	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Mangrovibacter"	"G"	14639	7	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0.003901	NA	NA	NA	NA	NA	NA	0.003901	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Candidatus Regiella"	"G"	3488	7	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0.003901	NA	NA	NA	NA	NA	NA	0.003901	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Thorsellia"	"G"	3527	6	NA	NA	NA	NA	NA	NA	6	NA	NA	1	NA	0.003344	NA	NA	NA	NA	NA	NA	0.003344	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Franconibacter"	"G"	26646	5	NA	NA	NA	NA	NA	NA	5	NA	NA	2	NA	0.002787	NA	NA	NA	NA	NA	NA	0.002787	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Candidatus Annandia"	"G"	14630	3	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	0.001672	NA	NA	NA	NA	NA	NA	0.001672	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Cedecea"	"G"	3496	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Candidatus Blochmannia"	"G"	3478	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"endosymbionts11"	"G"	26651	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"uncultured"	"G"	3534	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"endosymbionts4"	"G"	14649	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	NA	NA	0.001115	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
