"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"bacterium enrichment culture clone EB27.1"	"S"	521583	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified rumen bacterium RC36"	"S"	60630	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified rumen bacterium RFN41"	"S"	70481	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium VC2.1 Bac1"	"S"	78278	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium 6C3d-27"	"S"	107114	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured soil bacterium PBS-25"	"S"	110970	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium S17sBac19"	"S"	136288	2	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium oral clone ASCD11"	"S"	325779	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone HN105"	"S"	569482	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone BA114"	"S"	630781	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_C1"	"S"	631591	3	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	0.001209	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.001209	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured nuHF2 cluster bacterium HF0130_29D04"	"S"	723587	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone auto28_4W"	"S"	749098	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone M116"	"S"	1155405	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone AK2"	"S"	1172159	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone LDC-11"	"S"	1333338	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone SRAO_28"	"S"	1563646	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone Anammox_11"	"S"	1565736	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Comamonas sp. SS56"	"S"	1867482	4	NA	NA	NA	NA	NA	NA	NA	4	NA	2	NA	0.001494	NA	NA	NA	NA	NA	NA	NA	0.001494	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas jiangduensis"	"S"	1194168	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas koreensis"	"S"	160825	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas kerstersii"	"S"	225992	2	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. BM-9_6"	"S"	283473	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. P4-4"	"S"	467195	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. AM13"	"S"	483670	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. IMCC12801"	"S"	1029603	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. AS46"	"S"	1191679	2	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. IMCC16031"	"S"	1292057	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Limnohabitans sp. Jir75"	"S"	1597957	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. INA15"	"S"	926414	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. G3-2"	"S"	1100711	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. Rim28"	"S"	1100720	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax sp. enrichment culture clone E41"	"S"	1109673	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>environmental&nbsp;samples"
"Acidovorax sp. Ku1408-5-1"	"S"	1779803	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax cattleyae"	"S"	80868	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. JPB-5.02"	"S"	521478	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. M6"	"S"	1056972	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Polaromonas sp. TP-Snow-C73"	"S"	1341584	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Rhodoferax saidenbachensis ED16"	"-"	614083	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;saidenbachensis"
"Albidiferax sp. A1-22"	"S"	1391253	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax sp. Cra25"	"S"	1327609	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Albidiferax sp. THG-DN7.17"	"S"	1537356	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Variovorax sp. INBio_4098AQ"	"S"	1565971	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HAB-23"	"S"	143806	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax defluvii"	"S"	913761	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. SaNR1"	"S"	948580	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. KIS25-14"	"S"	1163418	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. Cra21"	"S"	1327711	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. CZBSY5"	"S"	1484874	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. Po17e"	"S"	1632695	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Curvibacter sp. W2.09-301r"	"S"	1341488	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Delftia deserti"	"S"	1651218	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Hydrogenophaga sp. GPTSA100-10"	"S"	398225	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. XT-N8"	"S"	1323737	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"environmental samples"	"-"	395604	2	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"uncultured Simplicispira sp."	"S"	395605	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira>environmental&nbsp;samples"
"Simplicispira sp. enrichment culture"	"S"	1765750	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira>environmental&nbsp;samples"
"Simplicispira sp. L1R1.2"	"S"	1293704	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Pelomonas sp. R7W-1-1"	"S"	1194041	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas"
"Pelomonas sp."	"S"	1909303	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas"
"Ramlibacter sp. HTCC332"	"S"	260354	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ottowia thiooxydans DSM 14619"	"-"	1122623	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia>Ottowia&nbsp;thiooxydans"
"Pseudacidovorax intermedius"	"S"	433924	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pseudacidovorax"
"Pseudacidovorax intermedius NH-1"	"-"	1257078	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pseudacidovorax>Pseudacidovorax&nbsp;intermedius"
"Pseudacidovorax sp. ptl-2"	"S"	647638	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pseudacidovorax"
"Hylemonella"	"G"	232523	3	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	0.001209	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	0.001209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hylemonella gracilis"	"S"	80880	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hylemonella"
"Hylemonella sp. SYC53"	"S"	1867524	2	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hylemonella"
"uncultured Alicycliphilus sp."	"S"	592398	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus>environmental&nbsp;samples"
"Massilia violacea"	"S"	1715466	2	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia aurea"	"S"	373040	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. Sco-D24"	"S"	642790	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Naxibacter sp. HMD2167"	"S"	664883	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. 5F6"	"S"	1035104	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. LC268"	"S"	1120657	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. TMT4-3"	"S"	1259430	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. HS1t"	"S"	1395635	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.0004029	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. NR 4-1"	"S"	1678028	2	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	0.0008059	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Herbaspirillum sp. NIHHS043"	"S"	1806042	2	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Herbaspirillum sp. LS-111"	"S"	1459971	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Janthinobacterium sp. AR11"	"S"	492330	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0007469	NA	NA	NA	NA	NA	NA	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium sp. A7(2011)"	"S"	946192	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium sp. TMT4-26-1"	"S"	1259355	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0003734	NA	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
