"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Oceanobacillus kimchii"	"S"	746691	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Oceanobacillus"
"Tenuibacillus"	"G"	286800	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Tenuibacillus halotolerans"	"S"	1035043	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Tenuibacillus"
"Staphylococcus aureus"	"S"	1280	8	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	0.004401	NA	NA	NA	NA	NA	NA	NA	0.004401	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus aureus subsp. aureus"	"-"	46170	6	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	0.003301	NA	NA	NA	NA	NA	NA	NA	0.003301	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus>Staphylococcus&nbsp;aureus"
"Staphylococcus aureus subsp. aureus NCTC 8325"	"-"	93061	6	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	0.003301	NA	NA	NA	NA	NA	NA	NA	0.003301	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus>Staphylococcus&nbsp;aureus>Staphylococcus&nbsp;aureus&nbsp;subsp.&nbsp;aureus"
"Staphylococcus aureus subsp. aureus RN4220"	"-"	561307	6	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	0.003301	NA	NA	NA	NA	NA	NA	NA	0.003301	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus>Staphylococcus&nbsp;aureus>Staphylococcus&nbsp;aureus&nbsp;subsp.&nbsp;aureus>Staphylococcus&nbsp;aureus&nbsp;subsp.&nbsp;aureus&nbsp;NCTC&nbsp;8325"
"Staphylococcus sp. C-D-MA3"	"S"	928616	3	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	0.00165	NA	NA	NA	NA	NA	NA	NA	0.00165	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus warneri"	"S"	1292	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sciuri"	"S"	1296	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sp. Bdr7"	"S"	1398263	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus cohnii"	"S"	29382	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sp. Anaero5"	"S"	1240393	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sp. UAC-68"	"S"	1308036	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sp. FGJ9"	"S"	1331830	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sp. BAS106i"	"S"	1494857	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Macrococcus"	"G"	69965	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	0.005501	NA	NA	NA	NA	NA	NA	NA	0.005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Macrococcus caseolyticus"	"S"	69966	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	0.005501	NA	NA	NA	NA	NA	NA	NA	0.005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Macrococcus"
"Salinicoccus"	"G"	45669	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Salinicoccus carnicancri"	"S"	558170	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Salinicoccus"
"Paenibacillus sp. DA18"	"S"	619737	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"environmental samples"	"-"	131548	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"uncultured Paenibacillus sp."	"S"	227322	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus>environmental&nbsp;samples"
"Paenibacillus lactis"	"S"	228574	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus humicus"	"S"	412861	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus sp. RH-14"	"S"	1126840	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus sp. cmc12"	"S"	1192159	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus sp. 6-III"	"S"	1632830	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus sp. MER_184"	"S"	1758655	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Listeriaceae"	"F"	186820	5	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	0.00275	NA	NA	NA	NA	NA	NA	NA	0.00275	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1637	5	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	0.00275	NA	NA	NA	NA	NA	NA	NA	0.00275	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Listeria monocytogenes"	"S"	1639	3	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	0.00165	NA	NA	NA	NA	NA	NA	NA	0.00165	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Listeria ivanovii"	"S"	1638	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Listeria grayi"	"S"	1641	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Bacillales incertae sedis"	"-"	539002	4	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	0.0022	NA	NA	NA	NA	NA	NA	NA	0.0022	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Bacillales Family XII. Incertae Sedis"	"-"	539742	3	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	0.00165	NA	NA	NA	NA	NA	NA	NA	0.00165	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis"
"Exiguobacterium"	"G"	33986	3	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	0.00165	NA	NA	NA	NA	NA	NA	NA	0.00165	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis"
"Exiguobacterium sp. TR51T2"	"S"	1386855	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis>Exiguobacterium"
"Exiguobacterium sp. NH1"	"S"	1860064	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis>Exiguobacterium"
"Bacillales Family XI. Incertae Sedis"	"-"	539738	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis"
"Gemella"	"G"	1378	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XI.&nbsp;Incertae&nbsp;Sedis"
"environmental samples"	"-"	75667	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XI.&nbsp;Incertae&nbsp;Sedis>Gemella"
"uncultured Gemella sp."	"S"	254352	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XI.&nbsp;Incertae&nbsp;Sedis>Gemella>environmental&nbsp;samples"
"Planococcaceae"	"F"	186818	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Planococcus"	"G"	1372	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"environmental samples"	"-"	337814	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"uncultured Planococcus sp."	"S"	337815	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus>environmental&nbsp;samples"
"Alicyclobacillaceae"	"F"	186823	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Alicyclobacillus"	"G"	29330	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Alicyclobacillus contaminans"	"S"	392016	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae>Alicyclobacillus"
"environmental samples"	"-"	218287	92	NA	NA	NA	NA	NA	NA	NA	92	NA	NA	NA	0.05061	NA	NA	NA	NA	NA	NA	NA	0.05061	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"uncultured Lactobacillaceae bacterium"	"S"	218288	92	NA	NA	NA	NA	NA	NA	NA	92	NA	NA	NA	0.05061	NA	NA	NA	NA	NA	NA	NA	0.05061	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>environmental&nbsp;samples"
"Lactobacillus helveticus"	"S"	1587	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus fermentum"	"S"	1613	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Pediococcus"	"G"	1253	3	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	0.00165	NA	NA	NA	NA	NA	NA	NA	0.00165	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Pediococcus pentosaceus"	"S"	1255	2	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	0.00112	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Pediococcus"
"Pediococcus sp. Rrt8"	"S"	417419	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Pediococcus"
"Streptococcus sp. bSSV21"	"S"	392829	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Clostridium perfringens"	"S"	1502	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium perfringens CPE"	"-"	451753	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;perfringens"
"Clostridium perfringens CPE str. F4969"	"-"	451756	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;perfringens>Clostridium&nbsp;perfringens&nbsp;CPE"
"environmental samples"	"-"	195047	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae"
"uncultured Clostridiaceae bacterium"	"S"	195049	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>environmental&nbsp;samples"
"environmental samples"	"-"	50559	3	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	0.00336	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"uncultured Clostridiales bacterium"	"S"	172733	3	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	0.00336	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>environmental&nbsp;samples"
"Eubacterium"	"G"	1730	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"eubacterium sp. 23-6"	"S"	519782	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium"
"Desulfosporosinus"	"G"	79206	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"environmental samples"	"-"	168104	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfosporosinus"
"Desulfosporosinus sp. enrichment culture clone De"	"S"	1158435	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfosporosinus>environmental&nbsp;samples"
"uncultured low G+C Gram-positive bacterium"	"S"	152508	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	0.00112	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>environmental&nbsp;samples"
"Streptomyces sp."	"S"	1931	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. JAN2"	"S"	1486172	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Kocuria sp. CT-6"	"S"	1635000	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Kocuria"
"Brevibacterium sp. ESC-str.590"	"S"	1082831	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Brevibacteriaceae>Brevibacterium"
"Nocardiaceae"	"F"	85025	3	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	0.00165	NA	NA	NA	NA	NA	NA	NA	0.00165	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
